Det,etie_nomtienda_0,ID pedido,Sum_Cant piezas,Fecha de entrega,Estatus,Venta Neta,Fin de captura
5469,RIO DE LOS REMEDIOS,27853958,1,9/10/2019 16:00,7,55.73695652,9/10/2019 13:19
5749,PLAZA DE TOROS,27853959,2,9/10/2019 21:00,7,85.34,9/10/2019 13:19
3847,SATELITE,27853960,14,9/10/2019 16:00,7,407.6769565,9/10/2019 13:17
2463,VERACRUZ,27853961,19,9/10/2019 16:00,7,278.9669565,9/10/2019 13:17
2379,CULIACAN,27853962,9,9/10/2019 15:00,7,117.4669565,9/10/2019 13:19
4546,ZACATECAS,27853963,13,9/10/2019 17:00,7,234.7469565,9/10/2019 13:18
3862,AZCAPOTZALCO,27853964,10,9/10/2019 16:00,7,208.3269565,9/10/2019 13:19
2381,MORELIA,27853965,34,9/10/2019 16:00,7,820.24,9/10/2019 13:19
2378,TAMPICO,27853966,22,9/10/2019 16:00,7,910.8269565,9/10/2019 13:19
3504,AV JESUS DEL MONTE,27853967,15,9/10/2019 16:00,7,756.9869565,9/10/2019 13:19
3863,PERIFERICO SUR,27853968,39,9/10/2019 17:00,7,1183.936957,9/10/2019 13:17
1656,CLUB DE GOLF,27853969,36,9/10/2019 17:00,7,623.12,9/10/2019 13:19
4048,MERIDA PENSIONES,27853970,101,9/10/2019 18:00,7,2717.916957,9/10/2019 13:17
1512,TERCER MILENIO (ANILLO),27853989,3,9/10/2019 17:00,7,641.9469565,9/10/2019 13:21
1054,COLIMA NORTE,27853991,14,9/10/2019 16:00,7,1420.996957,9/10/2019 13:20
2734,PLAZA ANA,27853992,1,9/10/2019 20:00,7,15.95,9/10/2019 13:21
3511,PORTAL TLALNEPANTLA,27853994,10,9/10/2019 16:00,7,484.3869565,9/10/2019 13:21
3069,LOS CABOS,27853995,14,9/10/2019 15:00,7,234.5669565,9/10/2019 13:22
1512,TERCER MILENIO (ANILLO),27853996,8,9/10/2019 17:00,7,228.7869565,9/10/2019 13:20
1403,CHAPALA,27853999,11,9/10/2019 16:00,7,819.09,9/10/2019 13:21
3876,LAS AGUILAS,27854000,22,9/10/2019 17:00,7,505.8269565,9/10/2019 13:21
2380,CD OBREGON,27854001,10,9/10/2019 16:00,7,939.68,9/10/2019 13:22
2347,TLAHUAC,27854002,18,9/10/2019 21:00,7,579.84,9/10/2019 13:21
2765,SAN JOSE DEL CABO,27854003,25,9/10/2019 20:00,7,1550.69,9/10/2019 13:20
